"","Island_Island_Site","Depth","Quadrat","Cover","Latitude","Longitude","Fixed.substrate","Sediment.substrate","Rubble","ID","Light_Log","Light_Rel_Ind","Temp_Hoboo","Temp_Variability","SST_Satellite_mean","Temp_Rel_Ind","Geomorphology","Coast_Orientation","Bathymetry_slope","Major_biotic_or_abiotic_features","Dominant.Substrate","Dominant.benthic.non_coral","Generic_richness","Years_Since_Last_bleaching","DHW_Last_Bleaching_year","Bleaching_events_since_2015","Sum_DHWs_since_2015"
"1","Bora_1","120",1,0,-16.5031,-151.7907,65.33,0,0,"120_SOCBOR1_1",2.308835,0.6794134,25.72062,3.66,27.94245,27.74685,"Barrier reef","West","Steep","Sediment and turf","Fixed substrate","None",2,3,3.9,1,3.9
"2","Bora_1","120",10,0,-16.5031,-151.7907,40,0,0,"120_SOCBOR1_10",2.308835,0.6794134,25.72062,3.66,27.94245,27.74685,"Barrier reef","West","Steep","Sediment and turf","Fixed substrate","None",2,3,3.9,1,3.9
"3","Bora_1","120",11,0,-16.5031,-151.7907,58.67,0,0,"120_SOCBOR1_11",2.308835,0.6794134,25.72062,3.66,27.94245,27.74685,"Barrier reef","West","Steep","Sediment and turf","Fixed substrate","None",2,3,3.9,1,3.9
"4","Bora_1","120",12,0,-16.5031,-151.7907,25.33,0,0,"120_SOCBOR1_12",2.308835,0.6794134,25.72062,3.66,27.94245,27.74685,"Barrier reef","West","Steep","Sediment and turf","Fixed substrate","None",2,3,3.9,1,3.9
"5","Bora_1","120",13,0,-16.5031,-151.7907,41.33,0,9.33,"120_SOCBOR1_13",2.308835,0.6794134,25.72062,3.66,27.94245,27.74685,"Barrier reef","West","Steep","Sediment and turf","Fixed substrate","None",2,3,3.9,1,3.9
"6","Bora_1","120",14,1.33,-16.5031,-151.7907,26.67,13.33,6.67,"120_SOCBOR1_14",2.308835,0.6794134,25.72062,3.66,27.94245,27.74685,"Barrier reef","West","Steep","Sediment and turf","Fixed substrate","None",2,3,3.9,1,3.9
"7","Bora_1","120",15,0,-16.5031,-151.7907,42.67,0,0,"120_SOCBOR1_15",2.308835,0.6794134,25.72062,3.66,27.94245,27.74685,"Barrier reef","West","Steep","Sediment and turf","Fixed substrate","None",2,3,3.9,1,3.9
"8","Bora_1","120",16,1.33,-16.5031,-151.7907,45.33,0,0,"120_SOCBOR1_16",2.308835,0.6794134,25.72062,3.66,27.94245,27.74685,"Barrier reef","West","Steep","Sediment and turf","Fixed substrate","None",2,3,3.9,1,3.9
"9","Bora_1","120",17,0,-16.5031,-151.7907,32,0,0,"120_SOCBOR1_17",2.308835,0.6794134,25.72062,3.66,27.94245,27.74685,"Barrier reef","West","Steep","Sediment and turf","Fixed substrate","None",2,3,3.9,1,3.9
"10","Bora_1","120",18,0,-16.5031,-151.7907,14.67,9.33,0,"120_SOCBOR1_18",2.308835,0.6794134,25.72062,3.66,27.94245,27.74685,"Barrier reef","West","Steep","Sediment and turf","Fixed substrate","None",2,3,3.9,1,3.9
"11","Bora_1","120",19,0,-16.5031,-151.7907,40,0,0,"120_SOCBOR1_19",2.308835,0.6794134,25.72062,3.66,27.94245,27.74685,"Barrier reef","West","Steep","Sediment and turf","Fixed substrate","None",2,3,3.9,1,3.9
"12","Bora_1","120",2,1.33,-16.5031,-151.7907,24,0,0,"120_SOCBOR1_2",2.308835,0.6794134,25.72062,3.66,27.94245,27.74685,"Barrier reef","West","Steep","Sediment and turf","Fixed substrate","None",2,3,3.9,1,3.9
"13","Bora_1","120",20,0,-16.5031,-151.7907,22.67,0,0,"120_SOCBOR1_20",2.308835,0.6794134,25.72062,3.66,27.94245,27.74685,"Barrier reef","West","Steep","Sediment and turf","Fixed substrate","None",2,3,3.9,1,3.9
"14","Bora_1","120",21,0,-16.5031,-151.7907,69.33,0,0,"120_SOCBOR1_21",2.308835,0.6794134,25.72062,3.66,27.94245,27.74685,"Barrier reef","West","Steep","Sediment and turf","Fixed substrate","None",2,3,3.9,1,3.9
"15","Bora_1","120",22,0,-16.5031,-151.7907,60,0,0,"120_SOCBOR1_22",2.308835,0.6794134,25.72062,3.66,27.94245,27.74685,"Barrier reef","West","Steep","Sediment and turf","Fixed substrate","None",2,3,3.9,1,3.9
"16","Bora_1","120",23,0,-16.5031,-151.7907,18.67,0,0,"120_SOCBOR1_23",2.308835,0.6794134,25.72062,3.66,27.94245,27.74685,"Barrier reef","West","Steep","Sediment and turf","Fixed substrate","None",2,3,3.9,1,3.9
"17","Bora_1","120",24,0,-16.5031,-151.7907,22.67,0,0,"120_SOCBOR1_24",2.308835,0.6794134,25.72062,3.66,27.94245,27.74685,"Barrier reef","West","Steep","Sediment and turf","Fixed substrate","None",2,3,3.9,1,3.9
"18","Bora_1","120",25,0,-16.5031,-151.7907,61.34,0,14.67,"120_SOCBOR1_25",2.308835,0.6794134,25.72062,3.66,27.94245,27.74685,"Barrier reef","West","Steep","Sediment and turf","Fixed substrate","None",2,3,3.9,1,3.9
"19","Bora_1","120",26,0,-16.5031,-151.7907,40,0,0,"120_SOCBOR1_26",2.308835,0.6794134,25.72062,3.66,27.94245,27.74685,"Barrier reef","West","Steep","Sediment and turf","Fixed substrate","None",2,3,3.9,1,3.9
"20","Bora_1","120",27,0,-16.5031,-151.7907,36,0,0,"120_SOCBOR1_27",2.308835,0.6794134,25.72062,3.66,27.94245,27.74685,"Barrier reef","West","Steep","Sediment and turf","Fixed substrate","None",2,3,3.9,1,3.9
"21","Bora_1","120",28,0,-16.5031,-151.7907,58.66,0,0,"120_SOCBOR1_28",2.308835,0.6794134,25.72062,3.66,27.94245,27.74685,"Barrier reef","West","Steep","Sediment and turf","Fixed substrate","None",2,3,3.9,1,3.9
"22","Bora_1","120",29,0,-16.5031,-151.7907,54.66,0,0,"120_SOCBOR1_29",2.308835,0.6794134,25.72062,3.66,27.94245,27.74685,"Barrier reef","West","Steep","Sediment and turf","Fixed substrate","None",2,3,3.9,1,3.9
"23","Bora_1","120",3,0,-16.5031,-151.7907,46.66,0,0,"120_SOCBOR1_3",2.308835,0.6794134,25.72062,3.66,27.94245,27.74685,"Barrier reef","West","Steep","Sediment and turf","Fixed substrate","None",2,3,3.9,1,3.9
"24","Bora_1","120",30,0,-16.5031,-151.7907,12,0,0,"120_SOCBOR1_30",2.308835,0.6794134,25.72062,3.66,27.94245,27.74685,"Barrier reef","West","Steep","Sediment and turf","Fixed substrate","None",2,3,3.9,1,3.9
"25","Bora_1","120",4,0,-16.5031,-151.7907,28,0,0,"120_SOCBOR1_4",2.308835,0.6794134,25.72062,3.66,27.94245,27.74685,"Barrier reef","West","Steep","Sediment and turf","Fixed substrate","None",2,3,3.9,1,3.9
"26","Bora_1","120",5,0,-16.5031,-151.7907,70.67,0,0,"120_SOCBOR1_5",2.308835,0.6794134,25.72062,3.66,27.94245,27.74685,"Barrier reef","West","Steep","Sediment and turf","Fixed substrate","None",2,3,3.9,1,3.9
"27","Bora_1","120",6,0,-16.5031,-151.7907,49.33,0,0,"120_SOCBOR1_6",2.308835,0.6794134,25.72062,3.66,27.94245,27.74685,"Barrier reef","West","Steep","Sediment and turf","Fixed substrate","None",2,3,3.9,1,3.9
"28","Bora_1","120",7,0,-16.5031,-151.7907,57.33,0,0,"120_SOCBOR1_7",2.308835,0.6794134,25.72062,3.66,27.94245,27.74685,"Barrier reef","West","Steep","Sediment and turf","Fixed substrate","None",2,3,3.9,1,3.9
"29","Bora_1","120",8,0,-16.5031,-151.7907,48,0,0,"120_SOCBOR1_8",2.308835,0.6794134,25.72062,3.66,27.94245,27.74685,"Barrier reef","West","Steep","Sediment and turf","Fixed substrate","None",2,3,3.9,1,3.9
"30","Bora_1","120",9,0,-16.5031,-151.7907,36,0,0,"120_SOCBOR1_9",2.308835,0.6794134,25.72062,3.66,27.94245,27.74685,"Barrier reef","West","Steep","Sediment and turf","Fixed substrate","None",2,3,3.9,1,3.9
"31","Bora_1","20",1,53.33,-16.5031,-151.7907,77.33,0,10.67,"20_SOCBOR1_1",196.775502,56.2270693,27.13525,0.344,27.94245,27.94245,"Barrier reef","West","Gentle","Corals","Fixed substrate","None",17,3,3.9,1,3.9
"32","Bora_1","20",10,42.67,-16.5031,-151.7907,58.67,0,0,"20_SOCBOR1_10",196.775502,56.2270693,27.13525,0.344,27.94245,27.94245,"Barrier reef","West","Gentle","Corals","Fixed substrate","None",17,3,3.9,1,3.9
"33","Bora_1","20",11,66.65,-16.5031,-151.7907,69.33,0,18.67,"20_SOCBOR1_11",196.775502,56.2270693,27.13525,0.344,27.94245,27.94245,"Barrier reef","West","Gentle","Corals","Fixed substrate","None",17,3,3.9,1,3.9
"34","Bora_1","20",12,49.33,-16.5031,-151.7907,85.33,0,0,"20_SOCBOR1_12",196.775502,56.2270693,27.13525,0.344,27.94245,27.94245,"Barrier reef","West","Gentle","Corals","Fixed substrate","None",17,3,3.9,1,3.9
"35","Bora_1","20",13,38.67,-16.5031,-151.7907,57.33,0,0,"20_SOCBOR1_13",196.775502,56.2270693,27.13525,0.344,27.94245,27.94245,"Barrier reef","West","Gentle","Corals","Fixed substrate","None",17,3,3.9,1,3.9
"36","Bora_1","20",14,50.65,-16.5031,-151.7907,90.67,0,0,"20_SOCBOR1_14",196.775502,56.2270693,27.13525,0.344,27.94245,27.94245,"Barrier reef","West","Gentle","Corals","Fixed substrate","None",17,3,3.9,1,3.9
"37","Bora_1","20",15,40,-16.5031,-151.7907,64,0,0,"20_SOCBOR1_15",196.775502,56.2270693,27.13525,0.344,27.94245,27.94245,"Barrier reef","West","Gentle","Corals","Fixed substrate","None",17,3,3.9,1,3.9
"38","Bora_1","20",16,38.67,-16.5031,-151.7907,77.33,0,0,"20_SOCBOR1_16",196.775502,56.2270693,27.13525,0.344,27.94245,27.94245,"Barrier reef","West","Gentle","Corals","Fixed substrate","None",17,3,3.9,1,3.9
"39","Bora_1","20",17,49.33,-16.5031,-151.7907,56,0,13.33,"20_SOCBOR1_17",196.775502,56.2270693,27.13525,0.344,27.94245,27.94245,"Barrier reef","West","Gentle","Corals","Fixed substrate","None",17,3,3.9,1,3.9
"40","Bora_1","20",18,33.34,-16.5031,-151.7907,61.33,4,0,"20_SOCBOR1_18",196.775502,56.2270693,27.13525,0.344,27.94245,27.94245,"Barrier reef","West","Gentle","Corals","Fixed substrate","None",17,3,3.9,1,3.9
"41","Bora_1","20",19,47.99,-16.5031,-151.7907,89.33,0,0,"20_SOCBOR1_19",196.775502,56.2270693,27.13525,0.344,27.94245,27.94245,"Barrier reef","West","Gentle","Corals","Fixed substrate","None",17,3,3.9,1,3.9
