"","Island_Island_Site","Depth","Quadrat","Cover","Latitude","Longitude","Fixed.substrate","Sediment.substrate","CCA","Rubble","Light_Log","Light_Rel_Ind","Temp_Hoboo","Temp_Variability","SST_Satellite_mean","Temp_Rel_Ind","Geomorphology","Coast_Orientation","Bathymetry_slope","Major_biotic_or_abiotic_features","Dominant.Substrate","Dominant.benthic.non_coral","Generic_richness","Years_Since_Last_bleaching","DHW_Last_Bleaching_year","Bleaching_events_since_2015","Sum_DHWs_since_2015","ID","Depth_num","TotPoints","Inc_points","Non_Inc_points","Per_Cover"
"1","Bora_1",120,1,0,-16.5031,-151.7907,65.33,0,5.33,0,-0.848949832365673,-0.888798034215143,-0.167841038184597,2.45052004952303,0.411401551564416,0.368216926710668,"Barrier reef","West","Steep","Sediment and turf","Fixed substrate","None",-1.60644747616521,3,3.9,1,-0.500917276089856,"120_SOCBOR1_1",120,75,0,75,1e-04
"2","Bora_1",120,10,0,-16.5031,-151.7907,40,0,24,0,-0.848949832365673,-0.888798034215143,-0.167841038184597,2.45052004952303,0.411401551564416,0.368216926710668,"Barrier reef","West","Steep","Sediment and turf","Fixed substrate","None",-1.60644747616521,3,3.9,1,-0.500917276089856,"120_SOCBOR1_10",120,75,0,75,1e-04
"3","Bora_1",120,11,0,-16.5031,-151.7907,58.67,0,8,0,-0.848949832365673,-0.888798034215143,-0.167841038184597,2.45052004952303,0.411401551564416,0.368216926710668,"Barrier reef","West","Steep","Sediment and turf","Fixed substrate","None",-1.60644747616521,3,3.9,1,-0.500917276089856,"120_SOCBOR1_11",120,75,0,75,1e-04
"4","Bora_1",120,12,0,-16.5031,-151.7907,25.33,0,4,0,-0.848949832365673,-0.888798034215143,-0.167841038184597,2.45052004952303,0.411401551564416,0.368216926710668,"Barrier reef","West","Steep","Sediment and turf","Fixed substrate","None",-1.60644747616521,3,3.9,1,-0.500917276089856,"120_SOCBOR1_12",120,75,0,75,1e-04
"5","Bora_1",120,13,0,-16.5031,-151.7907,41.33,0,18.67,9.33,-0.848949832365673,-0.888798034215143,-0.167841038184597,2.45052004952303,0.411401551564416,0.368216926710668,"Barrier reef","West","Steep","Sediment and turf","Fixed substrate","None",-1.60644747616521,3,3.9,1,-0.500917276089856,"120_SOCBOR1_13",120,75,0,75,1e-04
"6","Bora_1",120,14,1.33,-16.5031,-151.7907,26.67,13.33,10.67,6.67,-0.848949832365673,-0.888798034215143,-0.167841038184597,2.45052004952303,0.411401551564416,0.368216926710668,"Barrier reef","West","Steep","Sediment and turf","Fixed substrate","None",-1.60644747616521,3,3.9,1,-0.500917276089856,"120_SOCBOR1_14",120,75,1,74,0.0133
"7","Bora_1",120,15,0,-16.5031,-151.7907,42.67,0,8,0,-0.848949832365673,-0.888798034215143,-0.167841038184597,2.45052004952303,0.411401551564416,0.368216926710668,"Barrier reef","West","Steep","Sediment and turf","Fixed substrate","None",-1.60644747616521,3,3.9,1,-0.500917276089856,"120_SOCBOR1_15",120,75,0,75,1e-04
"8","Bora_1",120,16,1.33,-16.5031,-151.7907,45.33,0,6.67,0,-0.848949832365673,-0.888798034215143,-0.167841038184597,2.45052004952303,0.411401551564416,0.368216926710668,"Barrier reef","West","Steep","Sediment and turf","Fixed substrate","None",-1.60644747616521,3,3.9,1,-0.500917276089856,"120_SOCBOR1_16",120,75,1,74,0.0133
"9","Bora_1",120,17,0,-16.5031,-151.7907,32,0,10.67,0,-0.848949832365673,-0.888798034215143,-0.167841038184597,2.45052004952303,0.411401551564416,0.368216926710668,"Barrier reef","West","Steep","Sediment and turf","Fixed substrate","None",-1.60644747616521,3,3.9,1,-0.500917276089856,"120_SOCBOR1_17",120,75,0,75,1e-04
"10","Bora_1",120,18,0,-16.5031,-151.7907,14.67,9.33,5.33,0,-0.848949832365673,-0.888798034215143,-0.167841038184597,2.45052004952303,0.411401551564416,0.368216926710668,"Barrier reef","West","Steep","Sediment and turf","Fixed substrate","None",-1.60644747616521,3,3.9,1,-0.500917276089856,"120_SOCBOR1_18",120,75,0,75,1e-04
