Unique;Site;Depth;Light_Log;Light_Rel_Ind;Temp_Hoboo;Temp_Variability;CTD_PAR_Rel_6;CTD_Temp_Rel_6;CTD_Fluo;CTD_Sal;SST_Satellite_mean;Nx_med;PO4_med;SiOH_med
1;GAMGAM1;6;568.46647;100;26.74181669;0.612;100;100;NA;NA;25.21497;0.178;0.122;0.707
2;GAMGAM1;20;275.28261;48.74795807;26.68262985;1.852;60.7;100;NA;NA;25.21497;0.231;0.2;0.622
3;GAMGAM1;40;136.89783;24.09773922;26.21056992;2.891;29.4;100;NA;NA;25.21497;0.211;0.195;0.675
4;GAMGAM1;60;56.27609;9.873247134;25.38625969;3.177;13.4;99.5;NA;NA;25.21497;0.138;0.127;0.637
5;GAMGAM1;90;21.54783;3.784442158;23.72214219;3.647;3.3;98.1;NA;NA;25.21497;0.083;0.32;0.646
6;GAMGAM1;120;6.48913;1.140443525;22.70297062;2.252;0.572;92.2;NA;NA;25.21497;0.076;0.102;0.752
7;GAMGAM2;6;568.46647;100;25.89805;1.097;100;100;NA;NA;25.23481;NA;NA;NA
8;GAMGAM2;20;275.28261;48.74795807;25.85927;0.731;61.1;99.9;NA;NA;25.23481;NA;NA;NA
9;GAMGAM2;40;136.89783;24.09773922;25.73841;1.626;30.6;96.7;NA;NA;25.23481;NA;NA;NA
10;GAMGAM2;60;56.27609;9.873247134;25.29392;1.744;14;89.6;NA;NA;25.23481;NA;NA;NA
11;GAMGAM2;90;21.54783;3.784442158;23.85218;2.266;3.1;87.6;NA;NA;25.23481;NA;NA;NA
12;GAMGAM2;120;6.48913;1.140443525;22.74395;1.846;0.9;84.1;NA;NA;25.23481;NA;NA;NA
13;SOCBOR1;6;349.867755;100;27.12304;0.638;100;100;NA;NA;27.94245;0.036;0.115;0.735
14;SOCBOR1;20;196.775502;56.22706927;27.13525;0.344;53.8;100;NA;NA;27.94245;0.038;0.247;0.641
15;SOCBOR1;40;82.15502;23.48850362;27.09284;0.393;30.2;100;NA;NA;27.94245;0.06;0.181;0.679
16;SOCBOR1;60;38.147791;10.91668398;27.03037;0.588;24.6;100;NA;NA;27.94245;0.033;0.146;0.557
17;SOCBOR1;90;9.460241;2.713054803;26.74786;1.926;7.2;100;NA;NA;27.94245;0.032;0.29;0.726
18;SOCBOR1;120;2.308835;0.679413375;25.72062;3.66;2.9;99.3;NA;NA;27.94245;0.022;0.267;0.508
19;SOCBOR2;6;473.135875;100;27.16295;0.59;100;100;NA;NA;27.94988;NA;NA;NA
20;SOCBOR2;20;242.167711;51.51129602;27.24533;0.664;64.5;99.6;NA;NA;27.94988;NA;NA;NA
21;SOCBOR2;40;113.888916;24.06433452;27.19262;0.417;12.6;99.4;NA;NA;27.94988;NA;NA;NA
22;SOCBOR2;60;56.91253;11.9831292;27.18702;0.54;8.3;99.4;NA;NA;27.94988;NA;NA;NA
23;SOCBOR2;90;19.619036;4.134396767;27.06407;1.758;3.5;99.1;NA;NA;27.94988;NA;NA;NA
24;SOCBOR2;120;6.594217;1.411260843;25.85661;3.256;0.9;94.3;NA;NA;27.94988;NA;NA;NA
25;SOCMOO1;6;357.14949;100;NA;NA;NA;NA;NA;NA;27.74466;NA;NA;NA
26;SOCMOO1;20;187.64506;53.04023703;26.86408;0.71;NA;NA;NA;NA;27.74466;NA;NA;NA
27;SOCMOO1;40;85.50679;23.91177271;26.73706;0.782;NA;NA;NA;NA;27.74466;NA;NA;NA
28;SOCMOO1;60;41.67469;11.70978844;26.58247;1.074;NA;NA;NA;NA;27.74466;NA;NA;NA
29;SOCMOO1;90;12.70864;3.586731459;26.07525;2.116;NA;NA;NA;NA;27.74466;NA;NA;NA
