"","Site","Archipelago","Island","Island_Site","Depth","Quadrat","Category","Cover"
"2","GAMMAN1","Gambier","Mangareva",1,6,1,"Scleractinian_branching",5.33
"3","GAMMAN1","Gambier","Mangareva",1,6,1,"Scleractinian_encrusting",2.67
"4","GAMMAN1","Gambier","Mangareva",1,6,2,"CCA",4
"6","GAMMAN1","Gambier","Mangareva",1,6,2,"Halimeda",1.33
"7","GAMMAN1","Gambier","Mangareva",1,6,2,"Scleractinian_branching",4
"8","GAMMAN1","Gambier","Mangareva",1,6,2,"Scleractinian_massive",4
"10","GAMMAN1","Gambier","Mangareva",1,6,3,"Scleractinian_branching",1.33
"12","GAMMAN1","Gambier","Mangareva",1,6,4,"Halimeda",4
"13","GAMMAN1","Gambier","Mangareva",1,6,4,"Scleractinian_branching",4
"14","GAMMAN1","Gambier","Mangareva",1,6,4,"Scleractinian_massive",6.66
"15","GAMMAN1","Gambier","Mangareva",1,6,5,"CCA",1.33
"17","GAMMAN1","Gambier","Mangareva",1,6,5,"Scleractinian_branching",2.67
"18","GAMMAN1","Gambier","Mangareva",1,6,5,"Scleractinian_encrusting",2.67
"19","GAMMAN1","Gambier","Mangareva",1,6,5,"Scleractinian_massive",1.33
"20","GAMMAN1","Gambier","Mangareva",1,6,6,"CCA",1.33
"22","GAMMAN1","Gambier","Mangareva",1,6,6,"Scleractinian_branching",6.66
"24","GAMMAN1","Gambier","Mangareva",1,6,7,"CCA",1.33
"26","GAMMAN1","Gambier","Mangareva",1,6,7,"Fleshy macroalgae",2.67
"27","GAMMAN1","Gambier","Mangareva",1,6,7,"Scleractinian_massive",4
"28","GAMMAN1","Gambier","Mangareva",1,6,8,"CCA",2.67
"30","GAMMAN1","Gambier","Mangareva",1,6,8,"Fleshy macroalgae",6.67
"31","GAMMAN1","Gambier","Mangareva",1,6,8,"Halimeda",1.33
"32","GAMMAN1","Gambier","Mangareva",1,6,8,"Scleractinian_branching",2.67
"33","GAMMAN1","Gambier","Mangareva",1,6,8,"Scleractinian_encrusting",1.33
"34","GAMMAN1","Gambier","Mangareva",1,6,8,"Scleractinian_massive",6.67
"35","GAMMAN1","Gambier","Mangareva",1,6,9,"CCA",4
"37","GAMMAN1","Gambier","Mangareva",1,6,9,"Fleshy macroalgae",4
"38","GAMMAN1","Gambier","Mangareva",1,6,9,"Halimeda",4
"39","GAMMAN1","Gambier","Mangareva",1,6,9,"Scleractinian_branching",8
"40","GAMMAN1","Gambier","Mangareva",1,6,9,"Scleractinian_encrusting",1.33
"41","GAMMAN1","Gambier","Mangareva",1,6,9,"Scleractinian_massive",1.33
"42","GAMMAN1","Gambier","Mangareva",1,6,10,"CCA",2.67
"44","GAMMAN1","Gambier","Mangareva",1,6,10,"Fleshy macroalgae",1.33
"45","GAMMAN1","Gambier","Mangareva",1,6,10,"Scleractinian_branching",2.67
"46","GAMMAN1","Gambier","Mangareva",1,6,10,"Scleractinian_encrusting",4
"47","GAMMAN1","Gambier","Mangareva",1,6,11,"CCA",4
"48","GAMMAN1","Gambier","Mangareva",1,6,11,"Cnidaria (non Scleractinian)",41.33
"50","GAMMAN1","Gambier","Mangareva",1,6,11,"Scleractinian_branching",2.67
"51","GAMMAN1","Gambier","Mangareva",1,6,11,"Scleractinian_massive",2.66
"52","GAMMAN1","Gambier","Mangareva",1,6,12,"CCA",4
"54","GAMMAN1","Gambier","Mangareva",1,6,12,"Fleshy macroalgae",4
"55","GAMMAN1","Gambier","Mangareva",1,6,12,"Halimeda",5.33
"56","GAMMAN1","Gambier","Mangareva",1,6,12,"Scleractinian_branching",2.66
"57","GAMMAN1","Gambier","Mangareva",1,6,12,"Scleractinian_massive",4
"59","GAMMAN1","Gambier","Mangareva",1,6,13,"Scleractinian_encrusting",20
"60","GAMMAN1","Gambier","Mangareva",1,6,13,"Scleractinian_massive",2.67
"62","GAMMAN1","Gambier","Mangareva",1,6,14,"Others",1.33
"63","GAMMAN1","Gambier","Mangareva",1,6,14,"Scleractinian_branching",5.33
"64","GAMMAN1","Gambier","Mangareva",1,6,14,"Scleractinian_encrusting",17.33
"65","GAMMAN1","Gambier","Mangareva",1,6,14,"Scleractinian_massive",1.33
"67","GAMMAN1","Gambier","Mangareva",1,6,15,"Fleshy macroalgae",1.33
"68","GAMMAN1","Gambier","Mangareva",1,6,15,"Scleractinian_encrusting",32
"69","GAMMAN1","Gambier","Mangareva",1,6,15,"Scleractinian_massive",2.67
"70","GAMMAN1","Gambier","Mangareva",1,6,16,"CCA",5.33
"72","GAMMAN1","Gambier","Mangareva",1,6,16,"Halimeda",1.33
"73","GAMMAN1","Gambier","Mangareva",1,6,16,"Scleractinian_branching",1.33
"74","GAMMAN1","Gambier","Mangareva",1,6,17,"CCA",2.67
"76","GAMMAN1","Gambier","Mangareva",1,6,17,"Fleshy macroalgae",2.67
"77","GAMMAN1","Gambier","Mangareva",1,6,17,"Scleractinian_branching",1.33
"78","GAMMAN1","Gambier","Mangareva",1,6,17,"Scleractinian_encrusting",2.67
"79","GAMMAN1","Gambier","Mangareva",1,6,17,"Scleractinian_massive",4
"80","GAMMAN1","Gambier","Mangareva",1,6,18,"CCA",6.67
"82","GAMMAN1","Gambier","Mangareva",1,6,18,"Fleshy macroalgae",10.67
"83","GAMMAN1","Gambier","Mangareva",1,6,18,"Scleractinian_branching",6.67
"84","GAMMAN1","Gambier","Mangareva",1,6,18,"Scleractinian_massive",5.33
"86","GAMMAN1","Gambier","Mangareva",1,6,19,"Fleshy macroalgae",5.33
"87","GAMMAN1","Gambier","Mangareva",1,6,19,"Scleractinian_branching",12
"88","GAMMAN1","Gambier","Mangareva",1,6,19,"Scleractinian_massive",4
"89","GAMMAN1","Gambier","Mangareva",1,6,20,"CCA",1.33
"91","GAMMAN1","Gambier","Mangareva",1,6,20,"Scleractinian_encrusting",2.67
"92","GAMMAN1","Gambier","Mangareva",1,6,21,"CCA",1.33
"94","GAMMAN1","Gambier","Mangareva",1,6,21,"Fleshy macroalgae",1.33
"95","GAMMAN1","Gambier","Mangareva",1,6,21,"Scleractinian_branching",2.67
"96","GAMMAN1","Gambier","Mangareva",1,6,22,"CCA",1.33
"98","GAMMAN1","Gambier","Mangareva",1,6,22,"Scleractinian_branching",12
"99","GAMMAN1","Gambier","Mangareva",1,6,22,"Scleractinian_encrusting",1.33
"101","GAMMAN1","Gambier","Mangareva",1,6,23,"CCA",8
"103","GAMMAN1","Gambier","Mangareva",1,6,23,"Halimeda",4
"104","GAMMAN1","Gambier","Mangareva",1,6,23,"Scleractinian_branching",10.67
"105","GAMMAN1","Gambier","Mangareva",1,6,23,"Scleractinian_massive",1.33
"107","GAMMAN1","Gambier","Mangareva",1,6,24,"Fleshy macroalgae",2.67
"108","GAMMAN1","Gambier","Mangareva",1,6,24,"Scleractinian_massive",4
"109","GAMMAN1","Gambier","Mangareva",1,6,25,"CCA",2.67
"111","GAMMAN1","Gambier","Mangareva",1,6,25,"Scleractinian_branching",16
"112","GAMMAN1","Gambier","Mangareva",1,6,25,"Scleractinian_massive",2.67
"114","GAMMAN1","Gambier","Mangareva",1,6,26,"Fleshy macroalgae",8
"116","GAMMAN1","Gambier","Mangareva",1,6,26,"Scleractinian_branching",4
"117","GAMMAN1","Gambier","Mangareva",1,6,26,"Scleractinian_encrusting",2.67
"118","GAMMAN1","Gambier","Mangareva",1,6,26,"Scleractinian_massive",5.34
"119","GAMMAN1","Gambier","Mangareva",1,6,27,"CCA",6.67
"121","GAMMAN1","Gambier","Mangareva",1,6,27,"Halimeda",1.33
"122","GAMMAN1","Gambier","Mangareva",1,6,27,"Scleractinian_encrusting",6.66
"123","GAMMAN1","Gambier","Mangareva",1,6,27,"Scleractinian_massive",30.67
"124","GAMMAN1","Gambier","Mangareva",1,6,28,"CCA",1.33
"126","GAMMAN1","Gambier","Mangareva",1,6,28,"Scleractinian_branching",1.33
"127","GAMMAN1","Gambier","Mangareva",1,6,28,"Scleractinian_massive",6.67
"128","GAMMAN1","Gambier","Mangareva",1,6,29,"CCA",4
"130","GAMMAN1","Gambier","Mangareva",1,6,29,"Halimeda",2.67
"131","GAMMAN1","Gambier","Mangareva",1,6,29,"Scleractinian_branching",13.33
"132","GAMMAN1","Gambier","Mangareva",1,6,29,"Scleractinian_massive",1.33
"133","GAMMAN1","Gambier","Mangareva",1,6,30,"CCA",4
"135","GAMMAN1","Gambier","Mangareva",1,6,30,"Scleractinian_branching",1.33
"136","GAMMAN1","Gambier","Mangareva",1,20,1,"CCA",1.33
"138","GAMMAN1","Gambier","Mangareva",1,20,1,"Scleractinian_branching",5.33
"139","GAMMAN1","Gambier","Mangareva",1,20,1,"Scleractinian_massive",6.67
"140","GAMMAN1","Gambier","Mangareva",1,20,1,"Scleractinian_solitary",2.67
"142","GAMMAN1","Gambier","Mangareva",1,20,2,"CCA",1.33
"144","GAMMAN1","Gambier","Mangareva",1,20,2,"Scleractinian_branching",1.33
"145","GAMMAN1","Gambier","Mangareva",1,20,2,"Scleractinian_encrusting",2.67
"146","GAMMAN1","Gambier","Mangareva",1,20,2,"Scleractinian_massive",28
"147","GAMMAN1","Gambier","Mangareva",1,20,3,"CCA",1.33
"149","GAMMAN1","Gambier","Mangareva",1,20,3,"Scleractinian_branching",1.33
"150","GAMMAN1","Gambier","Mangareva",1,20,3,"Scleractinian_massive",9.33
"151","GAMMAN1","Gambier","Mangareva",1,20,4,"CCA",1.33
"154","GAMMAN1","Gambier","Mangareva",1,20,4,"Scleractinian_branching",9.33
"155","GAMMAN1","Gambier","Mangareva",1,20,4,"Scleractinian_encrusting",2.66
"157","GAMMAN1","Gambier","Mangareva",1,20,5,"Scleractinian_branching",1.33
"158","GAMMAN1","Gambier","Mangareva",1,20,5,"Scleractinian_encrusting",1.33
"159","GAMMAN1","Gambier","Mangareva",1,20,5,"Scleractinian_massive",16
"160","GAMMAN1","Gambier","Mangareva",1,20,5,"Scleractinian_solitary",1.33
"161","GAMMAN1","Gambier","Mangareva",1,20,6,"CCA",4
"163","GAMMAN1","Gambier","Mangareva",1,20,6,"Scleractinian_branching",1.33
"164","GAMMAN1","Gambier","Mangareva",1,20,6,"Scleractinian_encrusting",2.66
"165","GAMMAN1","Gambier","Mangareva",1,20,6,"Scleractinian_massive",5.33
"167","GAMMAN1","Gambier","Mangareva",1,20,7,"Others",1.33
"168","GAMMAN1","Gambier","Mangareva",1,20,7,"Scleractinian_branching",14.67
"169","GAMMAN1","Gambier","Mangareva",1,20,7,"Scleractinian_encrusting",1.33
"170","GAMMAN1","Gambier","Mangareva",1,20,7,"Scleractinian_massive",18.67
"171","GAMMAN1","Gambier","Mangareva",1,20,8,"CCA",1.33
"174","GAMMAN1","Gambier","Mangareva",1,20,8,"Scleractinian_encrusting",5.34
"175","GAMMAN1","Gambier","Mangareva",1,20,8,"Scleractinian_massive",6.66
"177","GAMMAN1","Gambier","Mangareva",1,20,9,"Scleractinian_encrusting",1.33
"178","GAMMAN1","Gambier","Mangareva",1,20,9,"Scleractinian_massive",34.65
"180","GAMMAN1","Gambier","Mangareva",1,20,10,"Scleractinian_branching",10.67
"181","GAMMAN1","Gambier","Mangareva",1,20,10,"Scleractinian_encrusting",2.67
"182","GAMMAN1","Gambier","Mangareva",1,20,10,"Scleractinian_massive",20
"183","GAMMAN1","Gambier","Mangareva",1,20,11,"CCA",1.33
"185","GAMMAN1","Gambier","Mangareva",1,20,11,"Scleractinian_branching",10.67
"186","GAMMAN1","Gambier","Mangareva",1,20,11,"Scleractinian_massive",2.67
"189","GAMMAN1","Gambier","Mangareva",1,20,12,"Scleractinian_massive",4
"191","GAMMAN1","Gambier","Mangareva",1,20,13,"Scleractinian_branching",4
"192","GAMMAN1","Gambier","Mangareva",1,20,13,"Scleractinian_massive",13.33
"194","GAMMAN1","Gambier","Mangareva",1,20,14,"Scleractinian_encrusting",1.33
"195","GAMMAN1","Gambier","Mangareva",1,20,14,"Scleractinian_massive",12
"197","GAMMAN1","Gambier","Mangareva",1,20,15,"CCA",1.33
"200","GAMMAN1","Gambier","Mangareva",1,20,15,"Scleractinian_encrusting",2.66
"201","GAMMAN1","Gambier","Mangareva",1,20,15,"Scleractinian_massive",4
"203","GAMMAN1","Gambier","Mangareva",1,20,16,"CCA",2.67
"206","GAMMAN1","Gambier","Mangareva",1,20,16,"Scleractinian_branching",1.33
"207","GAMMAN1","Gambier","Mangareva",1,20,16,"Scleractinian_encrusting",1.33
"208","GAMMAN1","Gambier","Mangareva",1,20,16,"Scleractinian_massive",6.66
