"","Depth","Latitude","Longitude","Fixed substrate","Sediment substrate","Rubble","Light_Log","Light_Rel_Ind","Temp_Hoboo","Temp_Variability","SST_Satellite_mean","Temp_Rel_Ind","Geomorphology","Coast_Orientation","Bathymetry_slope","Major_biotic_or_abiotic_features","Dominant.Substrate","Dominant.benthic.non_coral","Generic_richness","Years_Since_Last_bleaching","DHW_Last_Bleaching_year","Bleaching_events_since_2015","Sum_DHWs_since_2015"
"6_GAMGAM1_1","6","-23.0731","-135.0162","92","0","0","568.46647","100","26.74182","0.612","25.21497","25.21497","Barrier reef","North-west","Gentle","Dead corals","Fixed substrate","None","12","2","3.2","2","11.2"
"6_GAMGAM1_2","6","-23.0731","-135.0162","86.67","0","0","568.46647","100","26.74182","0.612","25.21497","25.21497","Barrier reef","North-west","Gentle","Dead corals","Fixed substrate","None","12","2","3.2","2","11.2"
"6_GAMGAM1_3","6","-23.0731","-135.0162","98.66","0","0","568.46647","100","26.74182","0.612","25.21497","25.21497","Barrier reef","North-west","Gentle","Dead corals","Fixed substrate","None","12","2","3.2","2","11.2"
"6_GAMGAM1_4","6","-23.0731","-135.0162","85.33","0","0","568.46647","100","26.74182","0.612","25.21497","25.21497","Barrier reef","North-west","Gentle","Dead corals","Fixed substrate","None","12","2","3.2","2","11.2"
"6_GAMGAM1_5","6","-23.0731","-135.0162","92","0","0","568.46647","100","26.74182","0.612","25.21497","25.21497","Barrier reef","North-west","Gentle","Dead corals","Fixed substrate","None","12","2","3.2","2","11.2"
"6_GAMGAM1_6","6","-23.0731","-135.0162","89.34","2.67","0","568.46647","100","26.74182","0.612","25.21497","25.21497","Barrier reef","North-west","Gentle","Dead corals","Fixed substrate","None","12","2","3.2","2","11.2"
"6_GAMGAM1_7","6","-23.0731","-135.0162","92","0","0","568.46647","100","26.74182","0.612","25.21497","25.21497","Barrier reef","North-west","Gentle","Dead corals","Fixed substrate","None","12","2","3.2","2","11.2"
"6_GAMGAM1_8","6","-23.0731","-135.0162","78.67","0","0","568.46647","100","26.74182","0.612","25.21497","25.21497","Barrier reef","North-west","Gentle","Dead corals","Fixed substrate","None","12","2","3.2","2","11.2"
"6_GAMGAM1_9","6","-23.0731","-135.0162","77.33","0","0","568.46647","100","26.74182","0.612","25.21497","25.21497","Barrier reef","North-west","Gentle","Dead corals","Fixed substrate","None","12","2","3.2","2","11.2"
"6_GAMGAM1_10","6","-23.0731","-135.0162","89.33","0","0","568.46647","100","26.74182","0.612","25.21497","25.21497","Barrier reef","North-west","Gentle","Dead corals","Fixed substrate","None","12","2","3.2","2","11.2"
"6_GAMGAM1_11","6","-23.0731","-135.0162","49.33","0","0","568.46647","100","26.74182","0.612","25.21497","25.21497","Barrier reef","North-west","Gentle","Dead corals","Fixed substrate","None","12","2","3.2","2","11.2"
"6_GAMGAM1_12","6","-23.0731","-135.0162","80","0","0","568.46647","100","26.74182","0.612","25.21497","25.21497","Barrier reef","North-west","Gentle","Dead corals","Fixed substrate","None","12","2","3.2","2","11.2"
"6_GAMGAM1_13","6","-23.0731","-135.0162","77.34","0","0","568.46647","100","26.74182","0.612","25.21497","25.21497","Barrier reef","North-west","Gentle","Dead corals","Fixed substrate","None","12","2","3.2","2","11.2"
"6_GAMGAM1_14","6","-23.0731","-135.0162","74.67","0","0","568.46647","100","26.74182","0.612","25.21497","25.21497","Barrier reef","North-west","Gentle","Dead corals","Fixed substrate","None","12","2","3.2","2","11.2"
