"","Scleractinian","Gorgonia","Black_coral","Hydroids","Cnidaria (non Scleractinian)","Sponges","Fleshy macroalgae","Crustose algae","Halimeda","Others","CCA"
"6_GAMMAN1_1",8,0,0,0,0,0,0,0,0,0,0
"6_GAMMAN1_2",8,0,0,0,0,0,0,0,1.33,0,4
"6_GAMMAN1_3",1.33,0,0,0,0,0,0,0,0,0,0
"6_GAMMAN1_4",10.66,0,0,0,0,0,0,0,4,0,0
"6_GAMMAN1_5",6.67,0,0,0,0,0,0,0,0,0,1.33
"6_GAMMAN1_6",6.66,0,0,0,0,0,0,0,0,0,1.33
"6_GAMMAN1_7",4,0,0,0,0,0,2.67,0,0,0,1.33
"6_GAMMAN1_8",10.67,0,0,0,0,0,6.67,0,1.33,0,2.67
"6_GAMMAN1_9",10.66,0,0,0,0,0,4,0,4,0,4
"6_GAMMAN1_10",6.67,0,0,0,0,0,1.33,0,0,0,2.67
"6_GAMMAN1_11",5.33,0,0,0,41.33,0,0,0,0,0,4
"6_GAMMAN1_12",6.66,0,0,0,0,0,4,0,5.33,0,4
"6_GAMMAN1_13",22.67,0,0,0,0,0,0,0,0,0,0
"6_GAMMAN1_14",23.99,0,0,0,0,0,0,0,0,1.33,0
"6_GAMMAN1_15",34.67,0,0,0,0,0,1.33,0,0,0,0
"6_GAMMAN1_16",1.33,0,0,0,0,0,0,0,1.33,0,5.33
"6_GAMMAN1_17",8,0,0,0,0,0,2.67,0,0,0,2.67
"6_GAMMAN1_18",12,0,0,0,0,0,10.67,0,0,0,6.67
"6_GAMMAN1_19",16,0,0,0,0,0,5.33,0,0,0,0
"6_GAMMAN1_20",2.67,0,0,0,0,0,0,0,0,0,1.33
"6_GAMMAN1_21",2.67,0,0,0,0,0,1.33,0,0,0,1.33
"6_GAMMAN1_22",13.33,0,0,0,0,0,0,0,0,0,1.33
"6_GAMMAN1_23",12,0,0,0,0,0,0,0,4,0,8
"6_GAMMAN1_24",4,0,0,0,0,0,2.67,0,0,0,0
"6_GAMMAN1_25",18.67,0,0,0,0,0,0,0,0,0,2.67
"6_GAMMAN1_26",12.01,0,0,0,0,0,8,0,0,0,0
"6_GAMMAN1_27",37.33,0,0,0,0,0,0,0,1.33,0,6.67
"6_GAMMAN1_28",8,0,0,0,0,0,0,0,0,0,1.33
"6_GAMMAN1_29",14.66,0,0,0,0,0,0,0,2.67,0,4
"6_GAMMAN1_30",1.33,0,0,0,0,0,0,0,0,0,4
"6_GAMMAN2_1",41.33,0,0,0,0,0,0,0,2.67,0,13.33
"6_GAMMAN2_2",32,0,0,0,0,0,0,0,0,0,20
"6_GAMMAN2_3",25.32,0,0,0,0,0,0,0,0,0,29.33
"6_GAMMAN2_4",41.33,0,0,0,0,0,0,0,0,0,17.33
"6_GAMMAN2_5",33.33,0,0,0,0,0,0,0,0,0,9.33
"6_GAMMAN2_6",36,0,0,0,0,0,0,0,0,0,12
"6_GAMMAN2_7",45.33,0,0,0,0,0,0,0,0,0,1.33
"6_GAMMAN2_8",37.34,0,0,0,0,0,0,0,0,0,10.67
"6_GAMMAN2_9",49.33,0,0,0,0,0,0,0,0,0,8
"6_GAMMAN2_10",25.34,0,0,0,0,0,0,0,0,0,25.33
"6_GAMMAN2_11",23.99,0,0,0,0,0,0,0,0,1.33,36
"6_GAMMAN2_12",49.33,0,0,0,0,0,0,0,0,0,6.67
"6_GAMMAN2_13",24,0,0,0,0,0,0,0,0,0,21.33
"6_GAMMAN2_14",70.66,0,0,0,0,0,0,0,0,0,10.67
"6_GAMMAN2_15",44,0,0,0,0,0,0,0,0,0,33.33
"6_GAMMAN2_16",34.66,0,0,0,0,0,0,0,2.67,0,44
"6_GAMMAN2_17",33.33,0,0,0,0,0,0,0,4,0,22.67
"6_GAMMAN2_18",30.66,0,0,0,0,0,0,0,2.67,0,13.34
"6_GAMMAN2_19",26.67,0,0,0,0,0,0,0,1.33,0,16
"6_GAMMAN2_20",22.67,0,0,0,0,0,0,0,16,0,4
"6_GAMMAN2_21",80,0,0,0,0,0,0,0,0,4,12
"6_GAMMAN2_22",23.99,0,0,0,0,0,0,0,1.33,0,14.67
"6_GAMMAN2_23",79.99,0,0,0,0,0,0,0,6.67,0,28
"6_GAMMAN2_24",30.66,0,0,0,0,0,0,0,4,0,26.67
"6_GAMMAN2_25",41.34,0,0,0,0,0,0,0,0,0,24
"6_GAMMAN2_26",61.33,0,0,0,0,0,0,0,1.33,0,6.66
"6_GAMMAN2_27",22.67,0,0,0,0,0,0,0,2.67,0,20
"6_GAMMAN2_28",56,0,0,0,0,0,0,0,0,0,16
"6_GAMMAN2_29",28,0,0,0,0,1.33,0,0,1.33,0,28
"6_GAMMAN2_30",25.33,0,0,0,0,0,0,0,6.67,0,25.33
"6_SOCBOR1_1",36,0,0,0,0,1.33,0,0,0,0,0
"6_SOCBOR1_2",14.67,0,0,0,0,0,0,0,0,0,0
"6_SOCBOR1_3",37.33,0,0,0,0,0,0,0,0,0,0
"6_SOCBOR1_4",33.33,0,0,0,0,1.33,0,0,0,0,0
"6_SOCBOR1_5",18.67,0,0,0,0,0,0,0,0,0,0
"6_SOCBOR1_6",37.33,0,0,0,0,1.33,0,0,0,0,0
"6_SOCBOR1_7",38.67,0,0,0,0,1.33,0,0,0,0,0
"6_SOCBOR1_8",57.34,0,0,0,0,0,0,0,0,0,0
"6_SOCBOR1_9",37.33,0,0,0,0,1.33,0,0,0,0,0
"6_SOCBOR1_10",41.33,0,0,0,0,0,0,0,0,0,0
"6_SOCBOR1_11",32,0,0,0,1.33,0,1.33,0,0,0,0
"6_SOCBOR1_12",18.66,0,0,0,0,0,0,0,0,0,0
"6_SOCBOR1_13",30.66,0,0,0,0,0,0,0,0,0,0
"6_SOCBOR1_14",40,0,0,0,0,0,0,0,0,0,0
"6_SOCBOR1_15",29.34,0,0,0,0,0,0,0,0,0,0
"6_SOCBOR1_16",29.34,0,0,0,0,1.33,0,0,0,0,0
"6_SOCBOR1_17",49.34,0,0,0,0,0,0,0,0,0,0
"6_SOCBOR1_18",56,0,0,0,0,0,0,0,0,0,0
"6_SOCBOR1_19",8,0,0,0,0,2.67,0,0,0,0,0
"6_SOCBOR1_20",16,0,0,0,0,1.33,1.33,0,0,0,0
